| Plano de Informação                         | Camada                                      | Formato                  | Fonte / Instituição              | Escala / Resolução | SRC                                | Ano        |
|---------------------------------------------|---------------------------------------------|--------------------------|----------------------------------|--------------------|------------------------------------|------------|
| **Imóveis Rurais**                          | car_aoi                                     | Shapefile / Polygon      | SICAR / SFB                      | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026       |
| **Geometria dos Imóveis Rurais**            | car_goi_geom                                | Shapefile / Polygon      | SICAR / SFB                      | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026       |
| **Bacias Hidrográficas**                    | bacias_hidrograficas_df                     | Shapefile / Polygon      | Luiz Sena (IPEDF)                | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026       |
| **Unidades Hidrográficas**                  | unidades_hidrograficas_df_contorno          | Shapefile / Polygon      | SEMA                             | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2022       |
| **Terras da União**                         | terras_da_uniao (faz. s***a)                | Shapefile / Polygon       | SIGEF                           | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026       |
| **Assentamentos da Reforma Agrária**        | assentamentos                               | Shapefile / Polygon      | INCRA                            | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026       |
| **Classificação Fundiária**                 | car_aoi_classificado                        | Vetorial / Polygon       | Produto derivado do CAR          | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026       |
| **Estatísticas Fundiárias**                 | estatisticas                                | Tabela                   | Produto derivado CAR / PostGIS   | —                  | —                                  | 2026       |
| **Estatísticas por Classe Fundiária**       | Estatistica_Classes_AOI                     | Tabela                   | Produto derivado / PostGIS       | —                  | —                                  | 2026       |
| **Mesorregiões**                            | mesorregioes                                | Shapefile / Polygon      | IBGE                             | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2022       |
