| Plano de Informação                    | Camada                                                     | Formato             | Fonte / Instituição | Escala / Resolução | SRC                                | Ano              |
|----------------------------------------|------------------------------------------------------------|---------------------|---------------------|--------------------|------------------------------------|------------------|
| **Imóveis Rurais**                     | car_aoi_                                                   | Shapefile / Polygon | SICAR / SFB         | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026             |
| **Unidades Hidrográficas**             | recorte_uhs_aoi                                            | Shapefile / Polygon | SEMA                | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2022             |
| **NDVI – Estação Seca**                | NDVI_Medio_Estacao_Seca_2025                               | GeoTIFF / Raster    | Sentinel-2          | 10 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2025             |
| **NDVI – Estação Chuvosa**             | NDVI_Medio_Estacao_Chuvosa_2024_2025                       | GeoTIFF / Raster    | Sentinel-2          | 10 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2024–2025        |
| **NDVI – Histórico / Estação Seca**    | NDVI_Medio_Historico_Estacao_Seca_2017_2024                | GeoTIFF / Raster    | Sentinel-2          | 10 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2017–2024        |
| **NDVI – Histórico / Estação Chuvosa** | NDVI_Medio_Historico_Estacao_Chuvosa_2017_2024             | GeoTIFF / Raster    | Sentinel-2          | 10 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2017–2024        |
| **Precipitação – Estação Seca**        | precipitacao_seca_2024.tif                                 | GeoTIFF / Raster    | CHIRPS              | ~3.556 m           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2024             |
| **Precipitação – Estação Chuvosa**     | precipitacao_chuvosa_2024_2025.tif                         | GeoTIFF / Raster    | CHIRPS              | ~3.556 m           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2024–2025        |
| **Déficit Hídrico – Estação Seca**     | deficit_hidrico_seca_2024.tif                              | GeoTIFF / Raster    | TerraClimate        | ~4.638,3 m         | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2024             |
| **Déficit Hídrico – Estação Chuvosa**  | deficit_hidrico_chuvosa_2024_2025.tif                      | GeoTIFF / Raster    | TerraClimate        | ~4.638,3 m         | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2024–2025        |
