| Plano de Informação                                 | Camada                                          | Formato                            | Fonte / Instituição                          | Escala / Resolução      | SRC                                | Ano                                                                                  |
| ----------------------------------------------------| ------------------------------------------------| ---------------------------------- | -------------------------------------------- | ----------------------- | ---------------------------------- | ---------------|
| **Unidades Hidrogáficas**                           | uhs_aoi                                         | Shapefile/ Polygon                 | Projeto                                      | —                       | SIRGAS 2000 / UTM 23S – EPSG:31983 |                |
| **Sistemas Hidrogeológicos**                        | domínio_fraturado                               | Shapefile/ Multipolygon            | ZEE-DF / GDF                                 | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |                |
| **Risco de Perda de Recarga de Aquífero             | risco_perda_recaraga_aquifero                   | Shapefile/ Multipolygon            | ZEE-DF / SISDIA – GDF                        | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |                |
| **Geomorfologia / Compartimentação Geomorfológica** | reconhecimento_solos                            | Shapefile/ Multipolygon            | EMBRAPA (CNPS)                               | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2015          |
| **Geomorfologia / Compartimentação Geomorfológica** | reconhecimento_solos_dissolve_reclass           | Shapefile/ Multipolygon            | EMBRAPA (CNPS)                               | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2015          |
| **Geomorfologia / Compartimentação Geomorfológica** | reconhecimento_solos_rasterizado_reclassificado | Geotiff/ Raster                    | EMBRAPA (CNPS)                               | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2015          |
| **Uso e Cobertura da Terra**                        | landcoverage                                    | Geotiff/ Raster                    | Mapbiomas                                    | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2024          |
| **Uso e Cobertura da Terra**                        | landcoverage_reclassificado                     | Geotiff/ Raster                    | Mapbiomas                                    | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2024          |
| **Outorgas de Recursos Hídricos**                   | outorgas_captacao_subterranea                   | Shapefile/ Point                   | ADASA                                        | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |                |
| **Assentamentos                                     | assentamento_1/assentamento_2/ assentamento_3   | Shapefile/ Vetorial                | INCRA                                        | Conforme fonte          | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2026          |
| **Pressão Antrópica sobre Áreas de Recarga**        | algebra_solos_cobertura_reclassificado          | Geotiff/ Raster                    | EMBRAPA (CNPS)/ Mapbiomas                    | —                       | SIRGAS 2000 / UTM 23S – EPSG:31983 |  2015-2024     |
| Estatísticas de Outorgas de Captação de Água        | estatisticas_finalida_1                         | CSV                                | ADASA                                        | —                       | -                                  |  2022/2024     |
| Estatísticas de Outorgas de Captação de Água        | estatisticas_qtd_pontos_captacao                | CSV                                | ADASA                                        | —                       | -                                  |  2022/2024     |
| Estatísticas de Outorgas de Captação de Água        | estatisticas_tipo_poco                          | CSV                                | ADASA                                        | —                       | -                                  |  2022/2024     |
| Estatísticas de Outorgas de Captação de Água        | estatisticas_sobreposicao_areas_recaraga        | CSV                                | ADASA / Mapbiomas                            | —                       | -                                  |  2022/2024     |
