| Plano de Informação                         | Camada                                                        | Formato                  | Fonte / Instituição                         | Escala / Resolução | SRC                                | Ano            |
|---------------------------------------------|---------------------------------------------------------------|--------------------------|---------------------------------------------|--------------------|------------------------------------|------------    |
| **Modelo Digital de Elevação**              | SRTM_30M_AOI_Recorte                                          | GeoTIFF / Raster         | SRTM                                        | 30 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | Conforme fonte |
| **Modelo Digital de Elevação**              | SRTM_Clip_Fill                                                | GeoTIFF / Raster         | SRTM / Produto derivado no QGIS             | 30 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | Derivado       |
| **Modelo Digital de Elevação**              | SRTM_30M_AOI_Recorte (Sombreamento - Analise Hidrográfica)    | GeoTIFF / Raster         | SRTM / Produto derivado no QGIS             | 30 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | Derivado       |
| **Unidades Hidrográficas**                  | Uhs_aoi                                                       | Shapefile / Polygon      | SEMA                                        | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2022           |
| **Assentamentos Rurais**                    | Assentamento_1                                                | Shapefile / Polygon      | INCRA                                       | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Assentamentos Rurais**                    | Assentamento_2                                                | Shapefile / Polygon      | INCRA                                       | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Assentamentos Rurais**                    | Assentamento_3                                                | Shapefile / Polygon      | INCRA                                       | Conforme fonte     | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Modelagem Hidrográfica**                  | Drainage_Basins_SAGA                                          | Raster                   | SAGA / Produto derivado no QGIS             | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Bacias de Drenagem**                      | Drainage_Basins_Vector                                        | Vetorial / Polygon       | Produto derivado no QGIS                    | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Rede de Drenagem**                        | Channels                                                      | Vetorial / Line          | SAGA / Produto derivado no QGIS             | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Hierarquia da Rede de Drenagem**          | Strahler Order                                                | Vetorial / Line          | SAGA / Produto derivado no QGIS             | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Confluências**                            | Junctions                                                     | Vetorial / Point         | SAGA / Produto derivado no QGIS             | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Sub-bacias / Microbacias**                | Sub-basins                                                    | Vetorial / Polygon       | SAGA / Produto derivado no QGIS             | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Centroide dos Assentamentos**             | Centroide_poligono_aoi                                        | Vetorial / Point         | Produto derivado no QGIS                    | —                  | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Área do Buffer de 10km**                  | buffer_ade                                                    | Vetorial / Polygon       | Produto derivado no QGIS                    | 10 km              | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Canais de Drenagem Recortados**           | Channels (Pré-rasterização)                                   | Vetorial / Line/Polygon  | Produto derivado no QGIS                    | 300 m              | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Canais Rasterizados**                     | Canais_Buffer_Rasterizado                                     | GeoTIFF / Raster         | Produto derivado no QGIS                    | Conforme MDE       | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Distância aos Canais**                    | Buffer_Canais_Drenagem_300m                                   | GeoTIFF / Raster         | Produto derivado no QGIS                    | Conforme MDE       | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Hipsometria**                             | SRTM_30M_AOI_Recorte                                          | GeoTIFF / Raster         | SRTM / Produto derivado no QGIS             | 30 m               | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Nascentes**                               | Junctions                                                     | Vetorial / Point         | Produto derivado da análise SAGA / QGIS     | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
| **Foz / Exutório**                          | Junctions                                                     | Vetorial / Point         | Produto derivado da análise SAGA / QGIS     | Derivada           | SIRGAS 2000 / UTM 23S – EPSG:31983 | 2026           |
